name;brand;price;ingredients;rating;sub-category;category;benefit
Ariul Smooth & Pure Micellar Water;ARIUL;Rp 39.200 - Rp 155.000;Water, 1,2-hexanediol, capryl capramidopropyl betaine, chlorphenesin, butylene glycol, Sodium chloride, Disodium edta, Carbomer, Tromethamine, paeonia suffruticosa root extract;4.7;Micellar Water;Cleanser;membersihkan make up & kotoran/ polusi/ debu/ micro-dust, agar kulit dan pori-pori jadi lebih bersih & segar. membantu menjaga kelembapan kulit.
Cellup Micro Cleansing Water;LAGOM;Rp210.000;Water, Dipropylene Glycol, Glycerin, Pentylene Glycol, 1,2-Hexanediol, C12-14 Pareth-12, Cocamidopropyl Hydroxysultaine, Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate, Myristamine Oxide, Panthenol, Caprylyl Glycol, Ethylhexylglycerin, Allantoin, Caprylyl/Capryl Glucoside, Decyl Glucoside, Fragrance (Parfum), Sodium Citrate, Citric Acid, Disodium EDTA, Glycine Soja (Soybean) Seed Extract, Butylene Glycol, Octanediol, Tocopherol, Urea, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Argania Spinosa Kernel Oil, Camellia Sinensis Seed Oil, Hydrolyzed Vegetable Protein, Maltodextrin, Olea Europaea (Olive) Fruit Oil, Borago Officinalis Extract, Centaurea Cyanus Flower Extract, Chamomilla Recutita (Matricaria) Flower/Leaf Extract, Hyacinthus Orientalis (Hyacinth) Extract, Lavandula Angustifolia (Lavender) Flower Water, Salvia Sclarea (Clary) Extract, Saponaria Officinalis Leaf Extract, Heptasodium Hexacarboxymethyl Dipeptide-12;0;Micellar Water;Cleanser;membersihkan sekaligus melembabkan wajah. merawat kulit serta membersihkan debu dan kotoran dari pori-pori dengan baik. melembabkan secara mendalam sekaligus menjaga kelembapan dalam kulit. menenangkan kulit yang teriritasi ringan.
Triple Care Acne Calm Micellar Water;FACETOLOGY;Rp 27.920 - Rp 47.920; Salicylic Acid, Centella Asiatica, Tea Tree Oil;5;Micellar Water;Cleanser;membantu kulit kamu bebas dari makeup, minyak, dan kotoran, sekaligus meredakan jerawat dan kemerahan. kulit jadi tenang, seimbang, dan lembap tanpa bikin khawatir akan iritasi atau munculnya jerawat
COSRX Low pH Niacinamide Micellar Cleansing Water;COSRX;Rp 89.250 - Rp 224.250;Water, Dipropylene Glycol, Polyglyceryl-4 Caprate, Panthenol, Sodium Hyaluronate, Allantoin, Niacinamide(1,000ppm), Zinc PCA, Madecassoside, Propanediol, Caprylyl Glycol, Ethylhexylglycerin, 1,2-Hexanediol, Sodium Citrate, Citric Acid, Disodium EDTA;5;Micellar Water;Cleanser;membantu mengontrol pori dan minyak berlebih. Membersihkan kotoran pada wajah sehingga dapat terangkat secara maksimal dan rasakan sensasi segar dan lembut setelah penggunaan 
Lightening Oil-Infused Micellar Water;WARDAH;Rp 26.800 - Rp 43.400;Aqua, Cyclopentasiloxane, Isohexadecane, Hexylene Glycol, Sodium Chloride, Phenoxyethanol, Paraffinum Liquidum, Niacinamide, Allantoin, Benzalkonium Chloride, Cetrimonium Bromide, Ethylhexylglycerin, Fragrance, Propylene Glycol, Prunus Amygdalus Dulcis Oil, Disodium EDTA, Decyl Glucoside, Cucumis Sativus Fruit Extract, Ethylhexyl Salicylate, Ethylhexyl Methoxycinnamate, Macadamia Ternifolia Seed Oil, Glycine Soja (Soybean) Oil, BHT, Persea Gratissima (Avocado) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Bisabolol, Isobornyl Acetate, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Fucus Vesiculosus Extract, Triticum Vulgare (Wheat) Bran Extract, Linoleic Acid, Tocopherol, CI 61565.;5;Micellar Water;Cleanser;membersihkan kotoran dan makeup waterproof, menutrisi, melembapkan kulit, dan menjaga skin barrier. bantu cerahkan kulit dan membuat kulit tampak glowing, halus, dan lembap.
Bioderma Sebium H2O - Oil Rebalancing Micellar Water;BIODERMA;Rp 132.000 - Rp 395.000;AQUA/WATER/EAU, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, SODIUM CITRATE, ZINC GLUCONATE, COPPER SULFATE, GINKGO BILOBA LEAF EXTRACT, MANNITOL, XYLITOL, RHAMNOSE, FRUCTOOLIGOSACCHARIDES, PROPYLENE GLYCOL, CITRIC ACID, DISODIUM EDTA, CETRIMONIUM BROMIDE, FRAGRANCE (PARFUM).;5;Micellar Water;Cleanser;Membersihkan wajah dari kotoran, debu, dan makeup tanpa membuat kulit kering , Mengurangi produksi sebum berlebih pada wajah, Membersihkan kulit dengan lembut tanpa rasa kering ketarik ,. Mengangkat debu & polutan
Tremella Panthenol Sensitive Care Micellar Water;GLAD2GLOW;Rp 27.000 - Rp 46.500;AQUA, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, PROPYLENE GLYCOL, TREMELLA FUCIFORMIS EXTRACT, PANTHENOL, POLYAMINOPROPYL BIGUANIDE, BETAINE, CHLORPHENESIN, SORBITOL, DISODIUM EDTA, AROMA, DIPROPYLENE GLYCOL.;5;Micellar Water;Cleanser;Membantu membersihkan make up dengan nyaman tanpa membuat kulit terasa kering.
Yuja Vitamin C Glow Boosting Micellar Water;GLAD2GLOW;Rp 27.000 - Rp 46.500;AQUA, ASCORBIC ACID, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, PROPYLENE GLYCOL, CITRUS LIMON FRUIT EXTRACT, ARGININE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, POLYAMINOPROPYL BIGUANIDE, BETAINE, CHLORPHENESIN, SORBITOL, AROMA, DISODIUM EDTA.;4.7;Micellar Water;Cleanser;Membantu membersihkan make up dengan nyaman tanpa membuat kulit terasa kering.
JMELLA In France Blooming Peony No. 01 Cleansing Water;JMELLA;Rp141.600;Aqua, PEG-6 Caprylic/Capric Glycerides, Butylene Glycol, Dipropylene Glycol, 1,2-Hexanediol, Phenoxyethanol, PEG-7 Glyceryl Cocoate, Decyl Glucoside, PEG-40 Hydrogenated Castor Oil, Disodium EDTA, Ethylhexylglycerin, Parfum, Sodium Citrate, Alcohol, Citric Acid, Paeonia Lactiflora Extract, Gluconolactone, Betaine Salicylate, Tripropylene Glycol, Sodium Carbonate, Glycerin, Propylene Glycol, Melaleuca Alternifolia Leaf Extract, Melaleuca Alternifolia (Tea Tree) Extract, Kunzea Ericoides Leaf Extract, Dipotassium Glycyrrhizate, Caprylic/Capric Triglyceride, Panthenol, Centella Asiatica Leaf Extract, Hydrogenated Phosphatidylcholine, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Sunflower (Helianthus Annuus) Seed Oil, Sucrose Stearate, Sodium Hyaluronate, Centella Asiatica Extract, Stearic Acid, Hexyl Laurate, Cetearyl Alcohol, Palmitic Acid, Ceramide NP, Undaria Pinnatifida Extract, Laminaria Japonica Extract, Fucus Vesiculosus Extract, Sargassum Fulvellum Extract, Himanthalia Elongata Extract, Macrocystis Pyrifera (Kelp) Extract, Sargassum Fusiforme Extract, Poncirus Trifoliata Fruit Extract, Inula Britannica Flower Extract, Forsythia Suspensa Fruit Extract, Viscum Album Extract, Morus Bombycis Extract, Lactobacillus Ferment, Aspergillus Ferment, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Proline, Threonine, Valine, Isoleucine, Histidine, Cysteine, Methionine, Cholesterol, Glycosphingolipids, Asiaticoside, Madecassic Acid, Asiatic Acid, Madecassoside, Sodium Acetylated Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Dimethylsilanol Hyaluronate, Sodium Hyaluronate Crosspolymer, Hyaluronic Acid, Pentylene Glycol, Potassium Hyaluronate.;5;Micellar Water;Cleanser;membersihkan kotoran dan make-up di wajah dengan lembap. membantu mempertahankan kelembapan kulit wajah. menjadikan kulit tetap ternutrisi, lembut dan halus.
Fresh Herb Origin Cleansing Water Bakuchiol;NACIFIC;Rp97.650;aqua, peg-6 caprylic/capric glycerides, 1,2-hexanediol, butylene glycol, ethylhexylglycerin, disodium edta, Avena Sativa (Oat) Kernel Extract, Glycerin, Oryza Sativa (Rice) Bran Extract, Sodium Citrate, Hyaluronic acid, Citric Acid, Bakuchiol, sodium hyaluronate;5;Micellar Water;Cleanser;menghapus riasan wajah dengan mudah dan dapat membuat kulir lembab, bersih dan sehat. meningkatkan elastisitas kulit, melembabkan kulit dehidrasi dan memperkuat pelindung kulit. menghilangkan riasan warna berat.
