name;brand;price;ingredients;rating;sub-category;category;benefit
Cica Care Purifying Toner;ROVECTIN;Rp234.000;Water, Dipropylene Glycol, Propanediol, Methylpropanediol, Glycerin, 1,2-Hexanediol, C12-14 Pareth-12, Sodium Citrate, Panthenol, Ethylhexylglycerin, Citric Acid, Lavandula Angustifolia (Lavender) Oil, Disodium EDTA, Centella Asiatica Extract, Houttuynia Cordata Extract, Salvia Hispanica Seed Extract, Butylene Glycol, Caprylic/Capric Triglyceride, Pentylene Glycol, Phosphatidylcholine, Madecassoside, Ceramide NP, Glycine, Glutamic Acid, Serine, Lysine, Alanine, Arginine, Threonine, Proline;4.8;Toner;Treatment;meredakan kulit yang sedang iritasi. membantu regenerasi sel-sel kulit untuk membuat kulit terlihat lebih kenyal, bersinar, dan sehat. memperkuat skin barrier pada kulit yang bermasalah.
Rice 70 Glow Milky Toner;ANUA;Rp249.000;Oryza Sativa (Rice) Bran Water, 1,2-Hexanediol, Oryza Sativa (Rice) Extract, Butylene Glycol, Glycerin, Dipropylene Glycol, Niacinamide, Propanediol, Water, Butylene Glycol, 1,2-Hexanediol, Dipropylene Glycol, Oryza Sativa (Rice) Extract, Hydrolyzed Rice Protein, Oryza Sativa (Rice) Seed Protein, Ceramide NP, Glycerin, Diphenyl Dimethicone, Triethylhexanoin, Water, Hydrogenated Lecithin, Panthenol, Water, Methyl Gluceth-20, Betaine, Glycerin, Water, Glyceryl Acrylate/Acrylic Acid Copolymer, Butylene Glycol, Propanediol, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Hydroxyacetophenone, Adenosine, Ethylhexylglycerin, Carbomer, Tromethamine, Water, Butylene Glycol, 1,2-Hexanediol, Allantoin, Xanthan Gum, Theobroma Cacao (Cocoa) Seed Extract, Dextrin, Water, Sodium Lauroyl Lactylate, 1,2-Hexanediol, Ceramide NP, Ceramide AP, Phytosphingosine, Cholesterol, Xanthan Gum, Carbomer, Ethylhexylglycerin, Ceramide Eop, Ascorbic Acid, Arbutin;0;Toner;Treatment;mencerahkan kulit, meningkatkan kadar kelembapan. mencegah munculnya jerawat. mencerahkan warna kulit kusam yang tidak merata, sekaligus menyeimbangkan produksi sebum, sehingga menghasilkan kulit yang bersih dan berseri. menenangkan kulit yang teriritasi
Daily Hydrating Shot;PEAU JEUNE BEAUTE BY AMITHA;Rp329.000;Aqua, Butylene Glycol, Glycerin, Propanediol, Fructooligosaccharides, Beta Vulgaris Root Extract, PEG-7 Glyceryl Cocoate, Hydroxyethylcellulose, Allantoin, Hydrolyzed Collagen, Malus Domestica Fruit Cell Culture Extract, Potassium Lactate, Lactic Acid, Pentylene Glycol, Sodium Hyaluronate, Ceramide NP, Phenoxyethanol, Tromethamine, Disodium EDTA, PPG-13 Decyltetradeceth-24, Fragrance (Parfum) Components and Finished Fragrances, Sodium Nitrate, Xanthan Gum, Glyoxal, Lecithin, Ethylhexylglycerin;5;Toner;Treatment;menjaga kelembapan, menenangkan kulit, dan membantu menyamarkan garis-garis halus di wajah. Memberikan hidrasi optimal terhadap kulit, melembutkan, membantu menghaluskan tekstur kulit dan membuat kulit terasa kenyal dan tampak segar.
Full Fit Propolis Synergy Toner;COSRX;Rp65.400 - Rp171.500;Propolis Extract, 10% Honey Extract, Butylene Glycol, 1,2-Hexanediol, Glycerin, Betaine, Cassia Obtusifolia Seed Extract, Panthenol, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Ethylhexylglycerin, Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylic/Capric Triglyceride.;5;Toner;Treatment;merawat kulit menjadi halus dan sehat. membantu membantu menenangkan kulit.
PHA Gentle Exfoliating Toner;TERATU BEAUTY;Rp53.950 - Rp78.850;Aqua, Gluconolactone, Glycerin, Propanediol, Salicylic Acid, Butylene Glycol, Amylopectin, Xanthan Gum, Dextrin, Niacinamide, Phenoxyethanol, DMDM Hydantoin, Allantoin, Citric Acid, Seawater, Aloe Barbadensis Leaf Extract, Sodium Hyaluronate, Disodium EDTA, 1-2 Hexanediol.;5;Toner;Treatment;memperhalus tekstur kulit, mengurangi komedo hitam dan putih, mengangkat sel kulit mati, serta membantu meratakan warna kulit.
5% AHA/BHA exfoliating toner;SKINTIFIC;Rp90.160;AQUA, BUTYLENE GLYCOL, GALACTOMYCES FERMENT FILTRATE, NIACINAMIDE, PROPYLENE GLYCOL, GLYCOLIC ACID, 1,2-HEXANEDIOL, HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID, LACTIC ACID, SALICYLIC ACID, PHENOXYETHANOL, PEG-60 ALMOND GLYCERIDES, CAPRYLYL GLYCOL, GENTIANA SCABRA ROOT EXTRACT, GLYCERIN, PEG-40 HYDROGENATED CASTOR OIL, SODIUM LACTATE, O-CYMEN-5-OL, CERAMIDE AP, CERAMIDE NP, POLYACRYLATE CROSSPOLYMER-6, ETHYLHEXYLGLYCERIN, CERAMIDE NS, MENTHOL, HEXYL CINNAMAL, CITRIC ACID, CARBOMER, T-BUTYL ALCOHOL, NORDIHYDROGUAIARETIC ACID, OLEANOLIC ACID.;5;Toner;Treatment;mengangkat sel kulit mati, membantu kulit menjadi lebih sehat dan cerah membantu masalah kulit seperti bruntusan, membuat kulit lebih halus dan cerahtidak memberikan sensasi tingling, tidak membuat kulit kering atau menyebabkan kemerahan
R.E.D Blemish Clear Soothing Toner;DR.G;Rp195.300 - Rp300.300;Aqua, Dipropylene Glycol, Propanediol, Glycerin, Pentylene Glycol, Niacinamide, Butylene Glycol, Panthenol, Portulaca Oleracea Extract, Raffinose, Ethylhexylglycerin, Disodium EDTA, Hydrogenated Lechitin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Betaine, Tromethamine, Centella Asiatica Extract, 1,2-Hexanediol, Ficus Carica (Fig) Fruit Extract, Madecassoside, Salix Alba (Willow) Bark Extract, Ethyl Hexanediol, Ceramide NP, Pyrus Malus Fruit Extract, Caprylyl Glycol, Saccharum Officinarum Extract, Aloe Ferox Leaf Extract, Tocopherol, Beta-Glucan, Asiaticoside, Madecassic Acid, Asiatic Acid.;5;Toner;Treatment;menenangkan, melembapkan, dan mengeksfoliasi kulit. merawat kulit yang rentan berjerawat dan mengurangi peradangan. meratakan tekstur kulit, membuatnya lebih halus, lembut, dan segar. juga dapat membersihkan sisa kotoran dan sel kulit mati, memberikan efek menenangkan pada kulit sensitif dan meredakan inflamasi akibat jerawat.
Squalane Barrier Hydra Toner;OASEA LABORATORIES;Rp113.980 - Rp204.180;Aqua, Glycerin, Niacinamide, Butylene Glycol, Babassu Oil, Glycereth-8 Esters, Propanediol, 1,2-Hexanediol, Sodium Hyaluronate, Caprylhydroxamic Acid, Inulin, Squalane, Disodium Edta, Lactobacillus Ferment Lysate, Palmitoyl Hexapeptide-12;4.8;Toner;Treatment;menghidrasi kulit wajah dan merawat skin barrier.  membantu menyamarkan noda hitam, menjaga elastisitas kulit, mengurangi minyak berlebih dan mengurangi tanda-tanda penuaan dini.
YOUR SKIN BAE SERIES Toner Niacinamide 7% + Alpha Arbutin 1% + Kale;AVOSKIN;Rp161.100;Water, Propylene glycol, Niacinamide, Glycerin, Alpha-Arbutin, Phenoxyethanol, Hydrolized Vegetable Protein, Chlorphenesin, Disodium EDTA, Xanthan gum, Citric Acid, Sodium Bisulfite;5;Toner;Treatment;mencerahkan kulit, membantu mengurangi noda hitam dan menghidrasi kulit secara optimal sehingga memperkuat skin barrier. kulit lembap, cerah, dan glowing alami
Supple Preparation Unscented Toner;DEAR KLAIRS;Rp228.900;Water, Butylene Glycol, Dimethyl Sulfone, Betaine, Caprylic/Capric Triglyceride, Natto Gum, Sodium Hyaluronate, Disodium EDTA, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Polyquaternium-51, Chlorphenesin, Tocopheryl Acetate, Carbomer, Panthenol, Arginine, Luffa Cylindrica Fruit/Leaf/Stem Extract, Beta-Glucan, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Hydroxyethylcellulose, Portulaca, Oleracea Extract, Lysine HCL, Proline, Sodium Ascorbyl Phosphate, Acetyl Methionine, Theanine, Copper Tripeptide-1;4.6;Toner;Treatment;memberikan pelembaban mendalam dan lembut kepada kulit.
Glow Replenishing Rice Milk;BEAUTY OF JOSEON;Rp215.600;Aqua, Methylpropanediol, Propanediol, 1,2-Hexanediol, Glycerin, Glycereth-26, Polymethyl Methacrylate, Panthenol, Hydroxyethyl Urea, Aluminum Chlorohydrate, Butylene Glycol, Oryza Sativa (Rice) Extract, Sodium Citrate, Microcrystalline Cellulose, Kaolin, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Citric Acid, Hydrogenated Lecithin, Coptis Japonica Root Extract, Ulmus Davidiana Root Extract, Amaranthus Caudatus Seed Extract, Ficus Carica Fruit Extract, Centella Asiatica Extract, Theobroma Cacao Seed Extract, Dextrin, Ceramide Np, Tocopherol, Sodium Hyaluronate, Rice Amino Acids;0;Toner;Treatment;mempercantik kulit. memaksimalkan manfaat perawatan kulit. meningkatkan kelembaban kulit dan menjaga kulit tetap terhidrasi sepanjang hari. menghasilkan hasil akhir yang segar dan tidak berminyak, membantu menyamarkan tampilan pori-pori, dan bermanfaat untuk kulit yang rawan berjerawat.
